id,title,release,artist_name,duration,artist_familiarity,artist_hotttnesss,year
31,All For A Purpose (Speak Life Album Version),Speak Life,Sev Statik,236.042,0.501415339627,0.337593152829,0
32,C On,C On,The Advent,466.99057,0.597051561408,0.353114024096,0
33,Raspberry Beret (LP Version),The Hits/The B-Sides,Prince & The Revolution,212.06159,0.684808063021,0.485444750548,0
34,All of the same blood,Violent revolution,Kreator,372.4273,0.740252305663,0.472691458988,2001
35,One Little Too Little,Hall Of Fame,Hall Of Fame,92.73424,0.534742140848,0.299177305722,1996
36,Cockleshell Heroes,Classic Years,Frank Chacksfield,155.19302,0.446256666541,0.346357522243,2007
37,Trancesequence,Voyage,Voyage,95.34649,0.525483906128,0.314066506467,0
38,Wonderful Stash,TRANCE VISIONARY,Wishbone Ash,437.7073,0.656700158051,0.476213225716,1998
39,La filo,Le meilleur,Malavoi,456.59383,0.433450646174,0.349260317093,0
40,Throw It Away,Easy Listening,Cobra Verde,246.54322,0.562282347297,0.367738816864,2003
41,Before He Kissed Me,Lisa Brokop,Lisa Brokop,141.87057,0.386827768314,0.311882922075,0
42,Blessed,Rejoice,The Emotions,276.1922,0.638475883027,0.411904524979,1977
43,Goa Amsterdam,B.P.M. - Bionic Pulse Method Vol. 3,Safi Connection,424.17587,0.540661826076,0.346936229,0
44,Disaster [Demo Version],Fragile Future,Hawthorne Heights,181.81179,0.807168388956,0.502400537516,2008
45,Night And Day,The Best Of,The Maytals,175.20281,0.606413782852,0.377602927868,1994
46,Passione,Alla Fine Della Notte,Neffa,228.44036,0.530647386145,0.38192120996,2007
47,My Everything [Screwed] (feat. Trae The Truth),[Screwed] Tha Flood - Swishahouse Mix,Lil O,241.05751,0.560634276122,0.348701878759,0
48,Scream,Devil's Playground,Billy Idol,282.93179,0.82022155521,0.48510469657,2005
49,The Man Delusion,The Man Delusion,The Vichy Government,168.04526,0.459762351913,0.369359659405,0
50,He Is Not Silent (Out Of The Grey Album Version),The Early Years,Out Of The Grey,240.87465,0.431030787168,0.333858124563,0
51,Pepe El Mañoso,Salsa Cubana Vol.6,Orquesta Sonara La Habana,209.50159,0.209238497129,0.116490434375,0
52,Acércate Más,Éxitos Del Romántico De Siempre,Leo Marini,152.68526,0.408627746291,0.300107240409,0
53,Mule Boogie,Country & Western,Sheb Wooley,137.50812,0.467742290909,0.375614375269,1993
54,Dancing In The Dark,The Look Of Love,Diana Krall,349.98812,0.747939215284,0.561394074956,2001
55,Mad About You,Change of Heart,Clifford T. Ward,201.1424,0.450149395295,0.347994069006,2003
56,Heartaches,Just Kiddin' Around,Ray Conniff;Billy Butterfield,130.0371,0.5557649996,0.376514231215,0
57,Pain Over Acceptance,Unforgivable,Weekend Nachos,113.37098,0.563502958183,0.438399455431,0
58,Ships That Don't Come In,The Ultimate Hits,Joe Diffie,224.46975,0.62107622967,0.484825338629,1992
59,Saturday Night  (LP Version),Rick Medlocke & Blackfoot,Blackfoot,232.82893,0.604296587266,0.437987748288,0
60,I Just Want To Be With You This Christmas,My Christmas,Katie Armiger,200.09751,0.59541445909,0.417098859814,0
61,On the Surface,Songs for the Incurable Heart,Stemm,250.98404,0.619206537657,0.14468466091,2005
62,Remember (Walking In The Sand),Night In The Ruts,Aerosmith,244.40118,0.87253659867,0.610731462904,1979
63,Just Another Woman,Singin' The Blues,Hot Lips Page,194.29832,0.427009595772,0.28974076939,0
64,untitled,Amaterasu,David Fridlund,12.2771,0.458147934464,0.324318779593,2004
65,Bakslag,Om Gaia,Kultiration,152.24118,0.548457981763,0.401557596973,2004
66,The New Way,Radio Ixtlan,Ewigkeit,300.72118,0.483697664328,0.377215543357,2004
67,Suffer,In My Own Cage,JOHN DOE,162.14159,0.679035298865,0.398981469164,0
68,Cités dortoires (feat. 59 Grammes),Rakailles 4,Alpha 5.20,350.56281,0.504153937599,0.439398895954,0
69,Bring It,Unspoken,Tonex,194.5073,0.609754379091,0.408470586106,0
70,You And I,Shine Through The Stars,Chasen,200.6722,0.629282127129,0.439823122568,2008
71,Sitting In My Window (Finis Tasby BMI),What My Blues Are All About,Finis Tasby,315.32363,0.423487552992,0.336316188937,0
72,Raid The Itch,Black Label #57,Ogris Debris,531.17342,0.496375093595,0.400220682363,0
73,The Rest of the Night,The Wind,Warren Zevon,279.30077,0.691744457552,0.471398997844,2003
74,Ride,Orion,Andrea Klas,241.78893,0.179311748211,0.0,0
75,Passion Protein,This Is Our Art,The Soup Dragons,322.71628,0.549336519471,0.40069053808,1988
76,Redemption,Write This Down,Write This Down,192.49587,0.651981428735,0.441646964055,2010
77,Dame Tus  Besos,Radio Macandé,Radio Macandé,279.84934,0.420604908151,0.300935960284,0
78,Don't Prolong the Agony (Bonus Track),Touchpaper,Claire Hamill,225.95873,0.515847654169,0.353124990046,0
79,Dalny svet (bonus 2003),Kruiz-1,Kruiz,253.23057,0.423738177176,0.0,0
80,Alice in Wonderland: Act I: The Caucus Race,DAVIS_ C.: Alice in Wonderland [Ballet] (Prague City Philharmonic_ Davis),Carl Davis,180.13995,0.415287181859,0.319074623895,0
81,Le mauvais coton,Dévaste-Moi,Brigitte Fontaine,195.10812,0.605815297054,0.470577118197,1990
82,Love Can Change feat. Nadine Sutherland,Fatis Presents Abijah,Abijah,241.162,0.504424856033,0.304310732964,0
83,Subtek,Tone Tales From Tomorrow,Hex,480.05179,0.497529830916,0.391801480322,0
84,Dream Of Love,Lost In Paradise,X-Perience,218.53995,0.586126239415,0.416823978537,2006
85,Lucy Fears the Morning Star,Sing-Along Songs for the Damned and Delirious,Diablo Swing Orchestra,394.23955,0.700119954066,0.534383741792,2009
86,Fool on the Hill,English Guitar Music,John Williams,215.09179,0.705287678078,0.517298018026,0
87,Baiting the Public,Hidden World,Fucked Up,356.51873,0.664265988675,0.427148606951,2006
88,Death Acceptor,TheBloodyTransylvaniaStreetMachine,Drexel,258.53342,0.464807726204,0.367066705547,0
89,Wipeout,100 Years of Surfing,The Surfaris,154.85342,0.590994223819,0.475026044388,1988
90,Fick uns,Die besten Tage sind gezählt,Kool Savas,11.75465,0.603382767951,0.449423634694,0
91,Wir Sind Die Jungs feat. Din & Smexer,Blackbooked No. 2 - Jung_ schön und stylish,Prinz Porno,298.05669,0.480254177975,0.413624753645,0
92,Make Dat Monet,Aristocrunk,Lord T & Eloise,291.68281,0.531735682508,0.304220653556,0
93,Two Legged Sheep,Ain't Crying for the Moon,Kingdom Come,329.40363,0.613547419192,0.410691583747,2006
94,Chi Sei Adesso,4 x 4,Gemelli Diversi,259.99628,0.641150864963,0.486167858183,2009
95,Stuck On My Vision,Outrageous,Alice In Videoland,168.33261,0.645128004394,0.461116412395,2005
96,Joku muu,Galaksi,Kristian Meurman,200.28036,0.276202321321,0.394105271937,2009
97,Whaleface (Instrumental),Felt 3: A Tribute To Rosie Perez [Instrumentals & Acapellas],Felt,179.59138,0.685804311066,0.447921543757,0
98,Brown Paper Bag,Time Flies When You're Gangster Fun,Gangster Fun,251.50649,0.422661642868,0.253834553554,1992
99,You Needed Me,Wind Beneath My Wings,Roger Whittaker,194.53342,0.586746110888,0.433199068755,1994
100,Pacey Singer,Third Hand Prophecy,A.Human,225.35791,0.533277968682,0.368353280457,2008
101,Superstition,Halloween Classics: Hellbent For Halloween,Beck_ Bogert_ Appice,258.32444,0.398725288426,0.0,0
102,Ride,Ride,Tiësto,219.79383,0.642039742685,0.480948813314,2006
103,Endangered Species (Tales From The Darkside) (Remix) (Explicit) (Feat. Chuck D),AmeriKKKa's Most Wanted (Explicit),Ice Cube Featuring Chuck D,250.74893,0.838816273605,0.557755674779,0
104,Summer Of My Life,Charcoal Lane,Archie Roach,214.72608,0.488807902674,0.382498694146,1990
105,Foggy Mountain Breakdown,The Complete Mercury Recordings,Lester Flatt / Earl Scruggs / The Foggy Mountain Boys,161.95873,0.491050168296,0.320366918656,0
106,Sonata No. 10 Op. 70,Scriabin - Piano Works,Mikhail Pletnev,776.25424,0.518304924282,0.359210620721,0
107,Red Ramona,Shake And Play,Janette Slack,435.09506,0.518502344565,0.218983285092,0
108,What Matters Is Just You,Aire/Invisible,Luis Eduardo Aute,167.00036,0.583527778228,0.389996030634,0
109,Southern Comfort,One Step Forward,Lonesome River Band,182.5171,0.428853814622,0.395822646178,0
110,Something From Nothing,Friendship Forever,Retard-O-Bot,130.08934,0.608251361484,0.367082361526,2005
111,Half Light,The Other Coast,Michael Whalen,324.30975,0.456605059966,0.36074498441,0
112,Bonus Track,Spirit Of '94,Kaze,497.50159,0.55832143384,0.338845003101,0
113,High Low And In Between,Country Linedancing,Mark Wills,195.49995,0.679789023574,0.483035298046,1996
114,Detalles,En Vivo,Roberto Carlos,372.92363,0.619257262036,0.417383743702,1990
115,Rock Can't Last Forever  (You Hate Me Hate Music Album Version),You Make Me Hate Music,Fine China,295.94077,0.491063913017,0.359458349342,2002
116,Get Along (Feat: Pace Won) (Instrumental),Charango,Morcheeba,227.47383,0.819087195638,0.533117124993,2002
117,Caravan,"Greatest Hits Of Richard ""Groove"" Holmes","Richard ""Groove"" Holmes",377.0771,0.522209599542,0.344211614046,0
118,Just Is,What Sound,Lamb,678.89587,0.732409432187,0.507956992295,0
119,The Life That I Never Had,The Life That I Never Had,Sektosixo,460.69506,0.0181700373198,0.0,0
120,Inside Your Dreams,Inside Your Dreams,DJ Markitos,384.67873,0.354335156222,0.281445413983,2003
121,Hot (Album Version),Milk Me  [Amended Version],The Beatnuts,204.61669,0.617812452929,0.475465130291,0
122,Have It All,Euphonic 10 Years,Ronski Speed presents Sun Decade,531.74812,0.433521181688,0.36505650873,0
123,Words - Re-Recording,Jeannie C. Riley Selected Hits,Jeannie C. Riley,181.99465,0.505951781484,0.373235095183,0
124,Viejo,Caraluna,Bacilos,307.51302,0.595554053513,0.400705227151,0
125,Victims of the Riddle [Vivisection],Sheep Farming In Barnet,Toyah,232.51546,0.505282124693,0.35517995948,1979
126,Kama Sutra,Kama Sutra,The Wolfmen,226.19383,0.496561134206,0.375137642771,0
127,E non lo scorderò,I successi di Fausto Leali,Fausto Leali,176.37832,0.422015754739,0.338637754314,0
128,What Can I Do?,17 Reasons,Link 80,174.70649,0.577353466481,0.378315418943,1997
129,Whats up with the Underground,EP2,Linkwood,285.70077,0.674105191296,0.51148628336,0
130,Pacific Sunrise,Freetime,Spyro Gyra,471.74485,0.628064699308,0.391005786358,1981
131,Gnostalgia,Sacrament,White Willow,617.53424,0.515932603371,0.331566220383,2000
132,Sin Sin Sin (Sentience Loney Mix),Sin Sin Sin,Robbie Williams,258.61179,0.849766883849,0.57861647281,2006
133,Bihac,Maschinensturm,Prager Handgriff,193.64526,0.481448549351,0.36510651692,1995
134,Hard Life Feat Raw Breed,Operation Infinite Grit,Marc Live,93.30893,0.475801738662,0.296215453336,0
135,Memories Of Love - Original Mix,Galaxy EP,Paul Miller,514.63791,0.542793586035,0.377787708794,0
136,Praise_ My Soul_ The King Of Heaven,Hymn,American Boychoir,160.07791,0.388024046527,0.291883421788,0
137,Edward Smith,Black Umbrella,Thought Industry,272.92689,0.423520253387,0.0,1997
138,Dark Country,Breaking In An Angel,Red Animal War,229.01506,0.513720054825,0.0,0
139,Highway Paved With Pain,Old Country Town,Lonesome River Band,175.59465,0.428853814622,0.395822646178,2007
140,End Of The Beginning (Album Version),Perspective,Jason Becker,706.40281,0.59624069237,0.45139863707,0
141,Britannia,Love U More: The Very Best Of,Sunscreem,220.682,0.546727553963,0.386180416079,2009
142,I'm About To Do Something (That I'm Gonna Regret),Chrome Tape,Motormark,185.36444,0.453192206991,0.372136731877,2004
143,Ring Road,Ring Road,Underworld,444.73424,0.751012252554,0.518324480349,2007
144,LEsperanza,The Very Best of Euphoric Dance Breakdown 2009,Airscape,442.51383,0.50488694762,0.410731286419,0
145,That Crutch,So Many Roads,Neal Morse,226.11546,0.580683604447,0.374146504139,2007
146,I Say A Little Prayer,The Legendary Hi Records Albums_ Volume 3: Full Of Fire + Have A Good Time + The Belle Album + Truth n Time,Al Green,133.58975,0.779490377324,0.599210493315,1978
147,Dawning Star,Double Negative,The Muffins,319.05914,0.457462916675,0.32125345964,0
148,Irreplaceable,Get Your Stereo Deluxed Vol. 6,The Funky Lowlives,245.28934,0.628756427536,0.417775071925,2002
149,AcroyearII,LP5,Autechre,519.3922,0.737052305503,0.450595416207,1998
150,And Then You Went Away,Resurrection,Brian Vander Ark,252.23791,0.570919033996,0.37540422898,2004
151,You Don't Know What You're Doing,Loose Tonight,Debbie Davies,136.88118,0.528835697897,0.343133497395,0
152,Touched (Intro: From 'That Winter' By Pamela Gillilan),Ignorance,Boo Hewerdine,289.33179,0.573862814041,0.345245346892,0
153,Day,Brave Murder Day,Katatonia,270.47138,0.802654891408,0.566349576707,1996
154,En oo koskaan tavannut,Helvetisti järkeä,Zen Cafe,305.78893,0.543839379698,0.511693420787,2001
155,B15 Apna Sangheet Sings Apna Sangsheet_ Ruled By The Mob,Minesweeper,DJ Rupture,182.62159,0.585716982931,0.408829063235,0
156,Militant Musicfreaks,The Never Ending Story,Warlocks,225.2273,0.568817935253,0.431585676539,0
157,The Color Of The Water / Dreaming Of The Future,Sea Of Dreams,Luis Bacalov,113.78893,0.624088046836,0.378910700532,2007
158,Nothing More to Say,Sounds of an Amateur,AJP,169.40363,0.60810618717,0.224457011807,0
159,Rock'n'roll vengeance,As-tu déjà oublié?,La Souris Déglinguée,172.06812,0.468140065476,0.282824921087,2003
160,Qui ? (version baba cool),Ma Grand-Mère,Mickey 3D,171.54567,0.599485782276,0.40665856516,2002
161,Four Horses,God's Tattoos,William Lee Ellis,146.20689,0.406883942497,0.184799093305,0
162,Laurie Ann,Glen Rocks,Glen Glenn,161.35791,0.42658478399,0.356104206558,2000
163,Näckaspel,Visor från vinden (Bonus Version),Sofia Karlsson,178.88608,0.566661657956,0.418356680774,2007
164,Get Up (Club Mix),The Great Bouzouki / Get Up,Krid P,363.57179,0.379705170997,0.294967996688,0
165,Melodia Do Amor,Bis - Jovem Guarda,Golden Boys,171.88526,0.535639925763,0.303171631758,0
166,Whatcha Gonna Do When Your Number's Up?   (The Best We Could Find Album Version),The Best We Could Find,STEVE TAYLOR,257.61914,0.492802544848,0.408514431024,0
167,Waste of Time,Tried & True,Junkyard,185.25995,0.558928365054,0.359190348821,0
168,Deep in the night,Deep in the night,JK,354.45506,0.526284542658,0.43010691301,0
169,Skase,Christos Dantis Best,Christos Dantis,220.96934,0.480752276169,0.417593317281,0
170,Make Her Feel Good,Roc-A-Fella Records Presents Teairra Marí,Teairra Marí,226.06322,0.721520715185,0.446325881317,2005
171,Radio Was Unplugged,Dinosaurs Turn Into Birds,Silent Kids,216.63302,0.403429948404,0.0,0
172,Margaret On The Guillotine (LP Version),Viva Hate,Morrissey,221.59628,0.77222939899,0.557766777844,1988
173,At the Ball_ That's All,Best of Laurel & Hardy - The Lonesome Pine,Laurel & Hardy,123.71546,0.438709416575,0.307119841955,0
174,Presence Of The Dead (Album Version),Testimony Of The Ancients,Pestilence,350.1971,0.595831996937,0.480348130276,0
175,The Art of the Fugue_ BWV 1080/Contrapunctus XIV,Bach:  The Art of the Fugue,Juilliard String Quartet,602.90567,0.405107180245,0.380073608227,0
176,Love Has A Diameter,Puzzle,Biffy Clyro,270.78485,0.637230649149,0.548807941056,2007
177,Communion,The phuture that never happened,Mental Overdrive,328.80281,0.50006164811,0.322816833674,1991
178,No quarter,Garbage daze re-regurgitated,Exhumed,347.97669,0.613702376973,0.394002247383,0
179,Rowboat,Unchained,Johnny Cash,223.9473,0.842332789509,0.747251065679,1996
180,Captain_ My Captain,Avalanche,I_ Synthesist,220.57751,0.455416901637,0.334117295235,2003
181,Home In Your Heart,Joyful Noise,Derek Trucks;Solomon Burke,239.75138,0.638622326889,0.373768449171,0
182,Pourquoi,Silence,Anael Miller,181.81179,0.558266134534,0.338464497975,0
183,Sold Out Of Love,Sold Out Of Love,New York Rel-X,171.7024,0.519833434734,0.312319794621,2005
184,He's So Brave,Listen To My Shapes,Sensations,198.66077,0.43910038914,0.243238447557,2005
185,Rave Up,Girltalk,Bad Dreams Fancy Dress,179.51302,0.381687665925,0.2352544766,1989
186,02.17 AM,Sweep Of Days,Blue Foundation,181.39383,0.699262067756,0.517721371004,2004
187,She's Alright,Grown Up Wrong,The Real Kids,114.99057,0.484893131196,0.344871922171,1977
188,The Itsy Bitsy Spider,Dora The Explorer,Dora The Explorer,50.78159,0.514414554202,0.413757657252,0
189,Mirage,FOCUSED,Billy Cobham,643.36934,0.583811419843,0.453524272095,1998
190,How Great Is Our King,Live 2005,EM1,303.33342,0.417932125654,0.251498173685,2005
191,Battery,And Christmas For All! The Holiday Tribute to Metallica,Santa Claws and the Naughty But Nice Orchestra,225.59302,0.402867824695,0.351528258019,2007
192,Black Gold,Total Life Forever,Foals,386.32444,0.842577664477,0.514522578266,2010
193,Mary Beth,The Solo Recordings [1971-1972],Peter Yarrow,172.32934,0.676647669549,0.49551343178,0
194,Walk In Holy Ghostwood/Time's Going On,Who Set That Fire,Lird Van Goles,410.90567,0.448351084452,0.323372777748,2007
195,When You're Sick With The Blues,Honey Babe Let The Deal Go Down: The Best Of Mississippi Sheiks,Mississippi Sheiks,188.73424,0.505559734328,0.385749928134,1994
196,Snowflakes (VeebeeO Remix),Snowflakes,Jessica Folcker,217.33832,0.529352361418,0.359238746744,0
197,Traktor,25 let,Visaci Zamek,257.27955,0.152304568482,0.0,1995
198,I Can't Take The Runnings Ina Babylon - Original,Buro's Jolly Bus,BuRo,178.75546,0.473669926715,0.30649843922,0
199,Smilin',My World,Bryn Christopher,225.95873,0.629677052606,0.389676487509,2008
200,Atrevida Bandolera,12 Discipulos,Voltio,189.46567,0.709095393128,0.358357904489,0
201,Distorted Minds,You Don't Know - Ninja Cuts,Hexstatic feat. Juice Aleem,333.92281,0.626655701974,0.365146670813,0
202,Esa Cancion Nos Salvo,Manual de redencion,Travolta,301.97506,0.533399180535,0.343719417121,0
203,Trend / Sprengkörper (Medley) (Live),Mediengruppe Telekommander Live In München am 23.04.2006 (Bavarian Open Sessions - Bayerischer Rundfunk / Zündfunk),Mediengruppe Telekommander,872.41098,0.635278551288,0.427263862383,0
204,The Unbeliever,The Sun & Earth,Middle Distance Runner,223.79057,0.567261405084,0.338273865777,0
205,Paper Doll,The 80's EP,Denison Witmer,249.57342,0.631127436934,0.48067925806,0
206,Gotta Go Home,20th Century Hits,Boney M. 2000,258.42893,0.601895616145,0.463989182172,1999
207,Gypsy Eyes,You Break It...You Bought It!,Michael Stanley Band,220.76036,0.442769650057,0.294986616555,1975
208,Valse Lente,Rossini's La Boutique Fantasque_ Dukas's The Sorcerer's Apprentice And Ibert's Divertissement,Boston Pops Orchestra,268.30322,0.466716596913,0.272859475346,0
209,Three,Gymnasia,The Show is the Rainbow,49.52771,0.573899037493,0.314440293457,0
210,Gridlock,Escalation of Hostility,Kill The Client,78.2624,0.58776858821,0.464547022516,2005
211,White Baby,Swan Song,Giant Drag,213.78567,0.668305851453,0.411727149406,2010
212,A Hole In The World (Album Version),Full Collapse,Thursday,207.85587,0.771685623,0.540151210513,2001
213,The Journey,Love & Peace,Lisa Lynne and Georege Tortorelli,369.21424,0.605139699964,0.420937754837,0
214,That's Why I'm Leaving,THEGETDOWNSYNDROME,The Peelers,195.91791,0.494335839547,0.379497318236,0
215,Your Heart's Not In It,The Very Best of Janie Fricke,Janie Fricke,178.6771,0.453085250099,0.382668086372,1993
216,La Inseminacion,10 De Colección,Johnny Ventura,230.94812,0.489940317765,0.348016734723,0
217,Willie Barcena,The Hot & Spicy Mamitas,Willie Barcena,302.34077,0.349587819368,0.319266429779,0
218,This Time It's Real,The Extended Mix,Miquel Brown,552.69832,0.455041378139,0.323539749592,0
219,Final Promise (World),Paradox,Davol,174.13179,0.419083776596,0.332348237083,0
220,Stand Alone (Album Version),Born Into This,The Cult,313.41669,0.745826130602,0.46801196368,2007
221,If I Get to the Borderline,Cancer And Delirium,J. Tillman,189.54404,0.640443634687,0.426489331823,2008
222,Hit Medley Part Three,The Best Of Vol. IV - The Megamixes,Arabesque,266.08281,0.528114993308,0.400045597495,0
223,How You Livin? f/J-Live & Grap Luva & Sondia,48 Months,Asheru And Blue Black Of The Unspoken Heard,185.86077,0.40095834215,0.0,0
224,Insomnomaniac,Compass,Joshua Redman,519.88853,0.623756570256,0.464182113318,2009
225,Tonight Will Be Fine,Leonard Cohen Live at the Isle of Wight 1970,Leonard Cohen,376.73751,0.800189481583,0.564623405405,1969
226,Straighten Up And Fly Right  (LP Version),'Round Midnight With Nelson Riddle And His Orchestra,Linda Ronstadt,135.99302,0.689773295231,0.419024182402,0
227,Will You Not Listen?,The Word,Michael Card,161.09669,0.015557880683,0.344246580364,0
228,Kallisti  Song For Eris,Below & Beyond,Floor,188.08118,0.522423829106,0.417591879765,0
229,Country Boogie Fever,Guitar Boogie Fever,Eddie Jones,152.45016,0.440042444858,0.319119601789,0
230,Zuviel Hitze,Einzelhaft,Falco,274.02404,0.674464704702,0.464617859544,1982
231,Bunion Blues,Chicken Minnie,Lighnin' Hopkins,118.33424,0.289836981794,0.224164509342,0
232,Se Fosse Adesso,Canzoni Allo Specchio,Perturbazione,246.7522,0.567490840904,0.432260367646,2005
233,Please Set Me At Ease,Blue Break Beats,Bobbi Humphrey,367.51628,0.558004202306,0.415402377304,1975
234,What Would You Do?,Cabaret: The New Broadway Cast Recording,Mary Louise Wilson,209.50159,0.704509009534,0.486011384367,0
235,Killers And Killed,Evil Unleashed,Angelus Apatrida,285.88363,0.515805781434,0.434384543314,2006
236,No Doubt About It  (Miracle Album Version),Miracle,The Clark Sisters,247.50975,0.638278211291,0.482432242488,0
237,Pantomime,Yes Yes Vindictive,Operator Please,271.38567,0.657401628893,0.473732590339,2007
238,Beautiful Noise,Beautiful Noise,Spencer Parker,473.5473,0.530581708736,0.318595670429,2006
239,Nine Million Bicycles,Live at The O2 Arena,Katie Melua,215.71873,0.713617919141,0.513977593763,2005
240,Call Me (Album Version),The Sound of Madness,Shinedown,222.1971,0.796817297049,0.675191947152,2008
241,Do You Know,Wake Up And Smell The Coffee,The Cranberries,189.12608,0.830759465534,0.577364124179,2001
242,La titimania,Van Van 30 Aniversario. Vol. 1 (30 Year Anniversary),Juan Formell y los Van Van,293.3024,0.604414492162,0.400517950689,1988
243,Vacuum,Cocotte,Teenage Bad Girl,229.48526,0.677696326618,0.451890699934,2007
244,Sä,Onnelliset Kohtaa,Scandinavian Music Group,373.34159,0.554659358863,0.413830896356,2002
245,You Win Again,Timeless,Martina McBride,179.90485,0.61487093392,0.628246419191,2005
246,Anyone Else But You,Juno - Music From The Motion Picture,Michael Cera & Ellen Page,116.71465,0.540440724276,0.464981119261,2007
247,Maia Sterling,ROBOTECH: The Shadow Chronicles,Scott Glasgow,109.47873,0.447808057068,0.291913130379,2007
248,Wanna Be (Explicit Album Version),Uni5: The World's Enemy,Bone Thugs-N-Harmony,318.30159,0.815923420344,0.555138321923,0
249,The Rain,The Rain,Lou Rhodes,205.19138,0.629515563349,0.444055406329,2007
250,Shake It Up,Scarface,Elizabeth Daily,224.46975,0.466929740396,0.370101102902,0
251,I Cry (LP Version),We Will Stand / Yesterday And Today,Russ Taff,248.89424,0.482615301463,0.36211600622,0
252,Major Tom '94(English Version),Major Tom'94(English Version),Peter Schilling & Boom-Bastic,282.46159,0.576320107655,0.433070329198,0
253,Who I Am,Afrodisiac,Brandy,215.69261,0.858761958756,0.463416059962,2004
254,Escape From Rome,Escape From Rome,Cricco Castelli,500.45342,0.387802832908,0.26852569028,0
255,Strikethrough,Past Revisited EP,Peter Van Hoesen,352.88771,0.464266354298,0.405329103702,0
256,Henrieta,The Green Owl Comp: A Benefit For The Energy Action Coalition,Harper Simon,223.9473,0.585140296743,0.452173916699,2008
257,Your Arms Feel Like Home,Where My Christmas Lives,3 Doors Down,228.46649,0.840432466617,0.642982219877,2008
258,Midnight Birds (Sa Ra Remix),Blue Note Trip 5:Scrambled / Mashed,Medeski_ Martin & Wood/Sa Ra Creative Partners,233.63873,0.767662739876,0.501516877819,2006
259,Telegram för en tennsoldat,Live,Cornelis Vreeswijk,81.73669,0.587765644873,0.422160565483,1966
260,Never Met A German,Talk To La Bomb,Brazilian Girls,155.16689,0.717611584015,0.471309954525,2006
261,Stones You Throw,Anthology Of Releases: 2004 - 2005,Career Suicide,57.7824,0.496431052963,0.414815891108,0
